Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,0,DireNTropy,US,1894.73,-4.69,2006.82,-6.33,37.36,-0.55,284,10.0,220,6.0,63,4.0,1,0.0,77.46,-0.64,2026-08-15,GM,3,-
-,-,Airren,US,1887.54,-2.7,2069.52,0.0,60.66,0.9,96,0.0,85,0.0,11,0.0,0,0.0,88.54,0.0,2023-09-14,GM,5,622.0
2,2,Grozz,RU,1876.27,33.78,1951.37,33.43,25.03,-0.12,390,36.0,283,30.0,104,6.0,3,0.0,72.56,1.09,2026-08-28,M,1,6.0
3,0,Weidenbaum,DE,1868.71,-5.63,1945.15,-5.71,25.48,-0.03,750,32.0,503,18.0,236,13.0,11,1.0,67.07,-0.48,2026-08-28,GM,27,10.0
4,-2,Wawrzyniec,PL,1862.64,-18.1,1977.99,-22.02,38.45,-1.31,236,12.0,169,5.0,64,7.0,3,0.0,71.61,-1.6,2026-08-26,GM,8,94.0
5,0,wolvs,UA,1854.71,12.66,1926.04,13.92,23.77,0.42,734,38.0,500,27.0,229,11.0,5,0.0,68.12,0.16,2026-08-31,GM,3,5.0
6,7,a440,CA,1837.7,33.85,1950.03,30.34,37.45,-1.17,234,12.0,164,10.0,69,2.0,1,0.0,70.09,0.72,2026-08-26,-,0,26.0
7,-1,Martin_Pecheur,FR,1834.73,-3.24,1907.32,-2.85,24.19,0.13,798,34.0,512,17.0,280,17.0,6,0.0,64.16,-0.63,2026-08-28,GM,15,1.0
8,0,St4nkk,PL,1823.16,-3.57,1948.68,-1.28,41.84,0.76,194,2.0,153,1.0,40,1.0,1,0.0,78.87,-0.3,2026-07-04,M,1,265.0
9,0,mwi,PL,1821.93,-0.5,1903.2,0.85,27.09,0.45,352,20.0,251,13.0,99,7.0,2,0.0,71.31,-0.38,2026-07-29,M,1,13.0
10,-3,Genghisip,UA,1820.42,-10.96,1930.65,-10.35,36.74,0.2,224,6.0,146,2.0,78,4.0,0,0.0,65.18,-0.88,2026-07-25,GM,9,27.0
11,-1,whsvin,HK,1813.89,-4.55,1929.27,0.0,38.46,1.52,324,0.0,250,0.0,74,0.0,0,0.0,77.16,0.0,2026-05-15,GM,6,64.0
12,0,Palino,SK,1812.32,-0.01,1907.14,2.14,31.61,0.72,558,8.0,363,5.0,195,3.0,0,0.0,65.05,-0.04,2026-08-14,GM,5,77.0
13,2,Majondor,AU,1807.83,6.22,1885.08,7.22,25.75,0.33,534,24.0,341,15.0,187,9.0,6,0.0,63.86,-0.06,2026-08-24,GM,5,8.0
14,0,funestus,NO,1805.19,2.45,1895.01,6.07,29.94,1.21,342,6.0,231,4.0,109,2.0,2,0.0,67.54,-0.02,2026-07-25,GM,2,11.0
15,-4,pv4,BE,1800.71,-13.68,1885.33,-10.86,28.21,0.94,518,12.0,308,5.0,205,7.0,5,0.0,59.46,-0.42,2026-08-19,GM,14,3.0
16,0,totsilence,DE,1793.02,-6.14,1871.95,-4.64,26.31,0.5,662,22.0,436,12.0,221,10.0,5,0.0,65.86,-0.39,2026-08-31,GM,2,9.0
17,2,Arne,DE,1791.0,-1.44,1872.93,0.59,27.31,0.68,334,16.0,223,10.0,109,6.0,2,0.0,66.77,-0.21,2026-07-21,M,4,14.0
18,2,Lcfyx,FR,1790.98,4.21,1879.96,8.07,29.66,1.29,396,6.0,262,5.0,132,1.0,2,0.0,66.16,0.26,2026-07-10,M,5,16.0
