Rank,Rank Δ,Player,Code,C Rating,C Rating Δ,Rating,Rating Δ,RD,RD Δ,Opps,Opps Δ,Ws,Ws Δ,Ls,Ls Δ,Ds,Ds Δ,W%,W% Δ,Last Played,Title,Title Count,Leaderboard Rank
1,6,a440,CA,1940.4,46.65,2028.85,41.77,29.48,-1.62,463,30.0,341,25.0,118,4.0,4,1.0,73.65,0.67,2026-08-31,-,0,26.0
2,2,Grozz,RU,1935.49,28.99,1998.72,28.92,21.08,-0.02,772,78.0,550,59.0,217,19.0,5,0.0,71.24,0.49,2026-08-28,M,1,6.0
3,-2,Genghisip,UA,1915.38,-13.06,2000.91,-12.91,28.51,0.05,575,18.0,386,8.0,185,10.0,4,0.0,67.13,-0.73,2026-07-30,GM,9,27.0
4,-2,Wawrzyniec,PL,1913.61,-13.1,1996.44,-15.82,27.61,-0.91,601,30.0,423,14.0,174,16.0,4,0.0,70.38,-1.25,2026-08-31,GM,8,94.0
5,4,SandHippo,CN,1912.96,35.7,2044.53,-0.48,43.86,-12.06,91,30.0,67,20.0,24,10.0,0,0.0,73.63,-3.42,2026-08-29,-,0,238.0
6,0,Weidenbaum,DE,1909.39,10.25,1974.17,9.72,21.59,-0.18,1390,75.0,925,49.0,453,25.0,12,1.0,66.55,-0.07,2026-08-29,GM,27,10.0
7,-4,DireNTropy,US,1905.69,-4.57,2016.08,-5.82,36.8,-0.42,344,10.0,267,6.0,76,4.0,1,0.0,77.62,-0.52,2026-08-15,GM,3,-
-,-,Airren,US,1895.27,-3.61,2034.27,0.0,46.34,1.2,262,0.0,209,0.0,52,0.0,1,0.0,79.77,0.0,2025-02-17,GM,5,622.0
8,-3,Martin_Pecheur,FR,1891.04,-11.21,1951.22,-11.66,20.06,-0.15,1497,77.0,962,37.0,519,39.0,16,1.0,64.26,-0.88,2026-08-28,GM,15,1.0
9,-1,wolvs,UA,1888.23,9.28,1956.09,9.52,22.62,0.08,1381,75.0,927,49.0,445,26.0,9,0.0,67.13,-0.1,2026-08-31,GM,3,5.0
10,3,funestus,NO,1875.67,17.13,1952.36,18.84,25.56,0.57,581,24.0,391,18.0,188,6.0,2,0.0,67.3,0.33,2026-08-09,GM,2,11.0
11,0,Plunderteig,CN,1864.0,-3.58,2004.49,0.0,46.83,1.19,105,0.0,84,0.0,21,0.0,0,0.0,80.0,0.0,2025-10-11,-,0,102.0
-,-,Pascalotopia,CA,1862.72,-4.19,1980.44,0.0,39.24,1.4,322,0.0,222,0.0,99,0.0,1,0.0,68.94,0.0,2024-09-10,GM,5,-
12,-2,Arne,DE,1862.07,-7.18,1926.17,-5.85,21.37,0.44,703,50.0,465,28.0,234,22.0,4,0.0,66.15,-0.77,2026-08-12,M,4,14.0
13,6,pv4,BE,1850.75,6.17,1918.71,8.48,22.65,0.77,1061,36.0,633,25.0,415,11.0,13,0.0,59.66,0.34,2026-08-26,GM,14,3.0
14,-2,Majondor,AU,1848.42,-15.17,1910.68,-15.86,20.75,-0.23,996,67.0,629,32.0,360,35.0,7,0.0,63.15,-1.11,2026-08-30,GM,5,8.0
15,3,mwi,PL,1848.06,2.16,1911.77,2.6,21.24,0.15,749,54.0,486,33.0,260,21.0,3,0.0,64.89,-0.29,2026-08-09,M,1,13.0
16,1,Palino,SK,1847.36,-1.6,1934.85,1.58,29.17,1.06,814,8.0,531,5.0,283,3.0,0,0.0,65.23,-0.03,2026-08-14,GM,5,77.0
17,-2,whsvin,HK,1846.29,-5.63,1949.68,0.0,34.47,1.88,564,0.0,426,0.0,137,0.0,1,0.0,75.53,0.0,2026-05-17,GM,6,64.0
18,-2,St4nkk,PL,1845.26,-6.13,1953.31,-2.26,36.02,1.29,362,2.0,279,1.0,82,1.0,1,0.0,77.07,-0.15,2026-07-04,M,1,265.0
19,3,DANeo,DE,1841.28,12.84,1911.57,13.79,23.43,0.31,753,37.0,462,22.0,285,15.0,6,0.0,61.35,-0.1,2026-08-31,GM,3,7.0
20,0,Eepogi,FI,1840.08,-1.17,1910.05,3.37,23.32,1.51,1209,22.0,731,11.0,470,11.0,8,0.0,60.46,-0.2,2026-07-30,GM,1,2.0
21,2,Pitor,NL,1840.03,12.75,1926.49,-6.59,28.82,-6.45,221,65.0,174,41.0,46,24.0,1,0.0,78.73,-6.53,2026-08-20,-,0,-
22,8,Kolo,IT,1831.81,21.47,1923.39,9.09,30.53,-4.13,279,40.0,204,25.0,74,15.0,1,0.0,73.12,-1.78,2026-08-15,M,2,607.0
23,-2,Dantes,US,1830.06,-1.92,1891.91,-3.53,20.62,-0.54,553,71.0,350,38.0,200,33.0,3,0.0,63.29,-1.44,2026-08-31,P,1,36.0
24,4,kyshantry,US,1829.46,16.08,1919.27,9.92,29.94,-2.06,404,30.0,241,17.0,161,13.0,2,0.0,59.65,-0.24,2026-08-31,M,1,53.0
